2024-09-23 17:25:22 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-09-23 17:25:22 [restartedMain] INFO  c.employee_self_service.Application - Starting Application using Java 21.0.3 with PID 26814 (/home/rohan/Desktop/ess_backend_final/target/classes started by rohan in /home/rohan/Desktop/ess_backend_final)
2024-09-23 17:25:22 [restartedMain] DEBUG c.employee_self_service.Application - Running with Spring Boot v3.3.1, Spring v6.1.10
2024-09-23 17:25:22 [restartedMain] INFO  c.employee_self_service.Application - No active profile set, falling back to 1 default profile: "default"
2024-09-23 17:25:22 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-09-23 17:25:22 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-09-23 17:25:24 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-09-23 17:25:25 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 132 ms. Found 7 JPA repository interfaces.
2024-09-23 17:25:26 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-09-23 17:25:26 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-09-23 17:25:26 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-09-23 17:25:26 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.25]
2024-09-23 17:25:26 [restartedMain] INFO  o.a.c.c.C.[.[localhost].[/api/auth] - Initializing Spring embedded WebApplicationContext
2024-09-23 17:25:26 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3944 ms
2024-09-23 17:25:27 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-09-23 17:25:27 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@2d1524c5
2024-09-23 17:25:27 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-09-23 17:25:28 [restartedMain] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:mysql://localhost:3306/ESS (MySQL 8.0)
2024-09-23 17:25:28 [restartedMain] INFO  o.f.c.i.s.JdbcTableSchemaHistory - Schema history table `ESS`.`flyway_schema_history` does not exist yet
2024-09-23 17:25:28 [restartedMain] INFO  o.f.core.internal.command.DbValidate - Successfully validated 8 migrations (execution time 00:00.067s)
2024-09-23 17:25:28 [restartedMain] INFO  o.f.c.i.s.JdbcTableSchemaHistory - Creating Schema History table `ESS`.`flyway_schema_history` ...
2024-09-23 17:25:28 [restartedMain] INFO  o.f.core.internal.command.DbMigrate - Current version of schema `ESS`: << Empty Schema >>
2024-09-23 17:25:28 [restartedMain] INFO  o.f.core.internal.command.DbMigrate - Migrating schema `ESS` to version "1 - CREATE User Table"
2024-09-23 17:25:28 [restartedMain] INFO  o.f.core.internal.command.DbMigrate - Migrating schema `ESS` to version "2 - CREATE Holiday Table"
2024-09-23 17:25:28 [restartedMain] INFO  o.f.core.internal.command.DbMigrate - Migrating schema `ESS` to version "3 - CREATE ShiftSchedule Table"
2024-09-23 17:25:28 [restartedMain] INFO  o.f.core.internal.command.DbMigrate - Migrating schema `ESS` to version "4 - CREATE MeetingRoom Table"
2024-09-23 17:25:28 [restartedMain] INFO  o.f.core.internal.command.DbMigrate - Migrating schema `ESS` to version "5 - CREATE CompanyConfiguration Table"
2024-09-23 17:25:28 [restartedMain] INFO  o.f.core.internal.command.DbMigrate - Migrating schema `ESS` to version "6 - CREATE JobTitles Table"
2024-09-23 17:25:29 [restartedMain] INFO  o.f.core.internal.command.DbMigrate - Migrating schema `ESS` to version "7 - CREATE UserExperienceDetails Table"
2024-09-23 17:25:29 [restartedMain] INFO  o.f.core.internal.command.DbMigrate - Migrating schema `ESS` to version "8 - CREATE UserRoleDetails Table"
2024-09-23 17:25:29 [restartedMain] INFO  o.f.core.internal.command.DbMigrate - Successfully applied 8 migrations to schema `ESS`, now at version v8 (execution time 00:00.410s)
2024-09-23 17:25:29 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-09-23 17:25:29 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
2024-09-23 17:25:29 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-09-23 17:25:29 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-09-23 17:25:30 [restartedMain] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-09-23 17:25:30 [restartedMain] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2024-09-23 17:25:31 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-09-23 17:25:31 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-09-23 17:25:32 [restartedMain] DEBUG c.e.s.f.JwtAuthenticationFilter - Filter 'jwtAuthenticationFilter' configured for use
2024-09-23 17:25:32 [restartedMain] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
